NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
,"CAXIAS, C E DQ DE-EF ETI EM",21,2,1,1
,"CAXIAS, C E DQ DE-EF M P",10,1,1,1
,CENTRO EST EDUC PROFIS CIANORTE,92,4,1,1
,CENTRO ESTADUAL ED PROF CIDADE GAUCHA,6,1,1,1
,"CIANORTE, C E-EF M PROFIS",30,2,1,1
,"COSTA E SILVA, C E MAL-EF M PROF NORMAL",37,2,1,1
,"FELISBERTO N GONCALVES, C E-EF M",31,2,1,1
,"HELENA KOLODY, C E-EM PROFIS N",96,4,1,1
,"IGLEA GROLLMANN, C E-EF ETI EM PROFIS",37,2,1,1
,"ITACELINA BITTENCOURT, C E-EF M ETI",6,1,1,1
,"JOSE GUIMARAES, C E-EF M PROFIS",26,2,1,1
,"MACHADO DE ASSIS, C E DO C-EF M",4,1,1,1
,"MORAES DE BARROS, C E SEN-EF M PROFIS",12,1,1,1
,"PRIMO MANFRINATO, C E C-M-EF M PROFIS",30,2,1,1
,"RUI BARBOSA, C E C-M -EFMP",42,3,1,1
,"SANTANA DE TAPEJARA, C E-EM N PROFIS",110,4,1,1
,"SANTOS DUMONT, C E C-M -EFMN",38,2,1,1
,"SAO LOURENCO, C E DO C-EF M",22,2,1,1
,"VIDIGAL, C E DE-EF M",15,1,1,1
CORNELIO PROCOPIO,"ADELAIDE GLASER ROSS, C E-EM PROFIS",10,1,1,1
,"ADELIA A LOPES, C E C-M PROFA-EF M",9,1,1,1
,"AGMAR M SCARDAZZI, C E C PROFA-EF M",1,1,1,1
,"AIDES N DA SILVA, C E PROF-EF M N PROF",16,1,1,1
,"ANDRE SEUGLING, C E C-M-EF M",26,2,1,1
,"ANTONIO C GOMES, C E-EF ETI EM PROFIS",8,1,1,1
,"CARRAO, C E C-M CONS EFM ETI",37,2,1,1
,"CECILIA MEIRELES, C E-EM N PROFIS",48,3,1,1
,CENTRO EST ED PROF PF MARIA L C BOMTEMPO,9,1,1,1
,CENTRO EST EDUC PROFIS AG FERNANDO COSTA,21,2,1,1
,CENTRO EST EDUC PROFIS OZORIO G NOGUEIRA,57,3,1,1
,"CRISTO REI, C E-NORMAL PROFIS",31,2,1,1
,"CYRIACO RUSSO, C E-EM N PROFIS",11,1,1,1
,"FLORIANO LANDGRAF, C E-EF ETI EM",10,1,1,1
,"JERONIMO F MARTINS, C E-EF M ETI",12,1,1,1
,"JERONIMO ONUMA, C E PE-EF M N",31,2,1,1
,"JOAO TURIN, C E C-M-EF M",25,2,1,1
,"JOAO XXIII, C E C-M-EF M",29,2,1,1
,"JOAQUIM M M ASSIS, C E-EF M ETI PROFIS",10,1,1,1
,"JOSE D DA COSTA, C E-EF ETI EM",8,1,1,1
,"JOSE F DE MELLO, C E-EF M N",12,1,1,1
,"JUVENAL MESQUITA, C E-EF ETI EM",1,1,1,1
,"MAILON MEDEIROS, C E C-M PROF-EF M",5,1,1,1
,"MARCILIO DIAS, C E-EF M ETI N PROFIS",9,1,1,1
,"MONTEIRO LOBATO, C E C-M-EF M",6,1,1,1
,"PATRIMONIO SANTA MARIA, C E C-EF M",9,1,1,1
,"PAULINA PACIFICO BORSARI, C E-EF ETI EM",10,1,1,1
,"PAULO MOZART MACHADO, C E C-M PROF-EF M",21,2,1,1
,"PAULO VI, C E PAPA-EF M",6,1,1,1
,"PEDRO V P DE SOUZA, C E PROF-EFM ETI PRO",25,2,1,1
,"REGINA TOKANO, C E PROFA-EF M",35,2,1,1
,"SAO JOAO DO PINHAL, C E C DE-EF M",10,1,1,1
,"SAO JORGE, C E C-EF M ETI",6,1,1,1
,"VANDYR DE ALMEIDA, C E-EF ETI EM",20,1,1,1
,"VINICIUS DE MORAIS, C E-EM",23,2,1,1
,"WILLIAM MADI, C E PROF-EF M ETI",6,1,1,1
,"ZULMIRA MARCHESI SILVA, C E-EF ETI EM",3,1,1,1
CURITIBA,"ALCYONE M C VELLOZO, C E PROF-EF M PROFI",5,1,1,1
,"ALFREDO PARODI, C E-EF M PROFIS",10,1,1,1
,"ALGACYR M MAEDER, CE PROF-EFM ETI PROFIS",23,2,1,1
,"ANGELO GUSSO, C E-EF M PROFIS",17,1,1,1
,"ANGELO TREVISAN, C E-EF M PROFIS",19,1,1,1
,"ANGELO VOLPATO, C E-EF M ETI",3,1,1,1
,"ANIBAL KHURY NETO, C E-EF M PROFIS",16,1,1,1
,"ARLINDO C DE AMORIM, C E C-M-EF M PROFIS",24,2,1,1
,"ATTICO EUSEBIO DA ROCHA, C E D-EF M PROF",13,1,1,1
,"AVELINO ANTONIO VIEIRA, C E-EF M PROFIS",10,1,1,1
,"BEATRIZ FARIA ANSAY, C E C-M-EFMP",19,1,1,1
,"BENEDICTO J CORDEIRO, C E-EF M N PROFIS",59,3,1,1
,"BENTO M DA ROCHA NETO, C E C - M -EFMP",15,1,1,1
,"BRANCA DO N MIRANDA, C E DONA-E F M P",8,1,1,1
,"BRASILIO V DE CASTRO, C E PROF-EF M PROF",33,2,1,1
,"CANDIDO RONDON, C E C-M MAL-EF M PROFIS",12,1,1,1
,"CARRAO, C E CONS-EF M ETI",28,2,1,1
,"CECILIA MEIRELES, C E-EF M ETI PROFIS",8,1,1,1
,CENTRO EST EDUC PROFIS DE CURITIBA,37,2,1,1
,"CLAUDIO MORELLI, C E PE-EF M",50,3,1,1
,"CLETO, C E PROF-EF M ETI",10,1,1,1
,"CRUZEIRO DO SUL, C E C-M-EF M P",6,1,1,1
,"DIRCE C DO AMARAL, C E PROFA-EF M PROFIS",5,1,1,1
,"DOMINGOS ZANLORENZI, C E C-M- EFM ETI P",1,1,1,1
,"ELIAS ABRAHAO, C E PROF-EF M PROFIS",7,1,1,1
,"EMILIO DE MENEZES, C E-EF M PROFIS",24,2,1,1
,"ERMELINO DE LEAO, C E C-M-EF M PROFIS",7,1,1,1
,"ERNANI VIDAL, C E-EF M PROFIS",5,1,1,1
,"ETELVINA C RIBAS, C E C-M PROFA-EF M P",62,4,1,1
,"EURIDES BRANDAO, C E-EF M PROFIS",25,2,1,1
,"EUZEBIO DA MOTA, C E-EF M PROF",17,1,1,1
,"FLAVIO F DA LUZ, C E-EF M PROFIS",18,1,1,1
,"FRANCISCO ZARDO, C E PROF-EF M PROFIS N",29,2,1,1
,"GABRIELA MISTRAL, C E-EF M",32,2,1,1
,"GELVIRA CORREA PACHECO, C E-EF M P",7,1,1,1
,"GETULIO VARGAS, C E C-M-EF M PROFIS",7,1,1,1
,"GOTTLIEB MUELLER, C E C-M-EF M PROFIS",18,1,1,1
,"GUAIRA, C E-EF M ETI PROFIS",10,1,1,1
,"GUARDA MIRIM DO PARANA, C E-EM PROF",11,1,1,1
,"GUIDO ARZUA, C E C M PROF - EF M PROF",26,2,1,1
,"GUIDO STRAUBE, C E PROF-EF M ETI PROFIS",6,1,1,1
,"GUILHERME A MARANHAO, C E DESEMB-EF M P",24,2,1,1
,"GUILHERME PEREIRA NETO, C E-EF M PROFIS",36,2,1,1
,"HASDRUBAL BELLEGARD, C E-EF M PROFIS",25,2,1,1
,"HILDEBRANDO DE ARAUJO, CE-EFM ETI PROFIS",5,1,1,1
,"HILDEGARD SONDAHL, C E PROFA-EF M PROFIS",8,1,1,1
,"HOMERO B DE BARROS, C E-EFM ETI",7,1,1,1
,"IARA BERGMANN, C E PROFA-EF M PROFIS",11,1,1,1
,"INEZ VICENTE BOROCZ, C E-EF M PROFIS",7,1,1,1
,INS ED PR PROF ERASMO PILOTTO-EFM ETI NP,18,1,1,1
,"ISABEL L S SOUZA, C E PROFA-EF M PROFIS",24,2,1,1
,"IVO LEAO, C E-EF M",26,2,1,1
,"JAYME CANET, C E C-M-EF M P",31,2,1,1
,"JOAO BETTEGA, C E-EF M ETI PROFIS N",8,1,1,1
,"JOAO DE OLIVEIRA FRANCO, C E-EF M PROFIS",32,2,1,1
,"JOAO LOYOLA, C E C-M PROF-EF M P",12,1,1,1
,"JOAO MAZZAROTTO, C E-EF ETI EM PROFIS",17,1,1,1
,"JOAO PAULO I, C E C-M PAPA-EF M P",31,2,1,1
,"JOAO PAULO II, C E C-M EFMP",11,1,1,1
,"JOAO TURIN, C E C-M-EF M PROFIS",11,1,1,1
,"JOAO WISLINSKI, C E C-M PE-EF M N P",17,1,1,1
,"JOSE BUSNARDO, C E C-M - EFM ETI",1,1,1,1
,"JOSE FRESSATO, C E-EF M",15,1,1,1
,"JOSE GUIMARAES, C E PROF-EM ETI PROFIS",8,1,1,1
,"JULIA WANDERLEY, C E-EF M PROFIS",5,1,1,1
,"JULIO MESQUITA, C E C-M PROF-EF M PROFIS",23,2,1,1
,"LA SALLE, C E-EF M PROF",29,2,1,1
,"LAMENHA LINS, C E C-M PRES-EF M P",6,1,1,1
,"LEONCIO CORREIA, C E-EF M PROFIS",29,2,1,1
,"LOUREIRO FERNANDES,CE PROF-EFM ETI PROFI",16,1,1,1
,"LUIZA ROSS, C E C-M PROFA-EF M P",13,1,1,1
,"LYSIMACO F COSTA, C E PROF-EF M P",15,1,1,1
,"MANOEL A GUIMARAES, C E C-M SEN - EF M P",14,1,1,1
,"MANOEL RIBAS, C E-EF M",2,1,1,1
,"MARIA A TEIXEIRA, CE PROFA-EFM ETI PROF",12,1,1,1
,"MARIA GAI GRENDEL, C E PROFA-EF M PROFIS",1,1,1,1
,"MARIA HELOISA CASSELLI, CE PROFA-EFM ETI",4,1,1,1
,"MARIA MONTESSORI, C E-EF M",16,1,1,1
,"MARLI QUEIROZ AZEVEDO, CE PROFA - EF M P",114,4,1,1
,"MAXIMO A ASINELLI, CE PROF-EF M ETI PROF",7,1,1,1
,"MILTON CARNEIRO, C E C-M-EF M P",11,1,1,1
,"MORADIAS MONTEIRO LOBATO, CE-EF M P",20,1,1,1
,"NARCISO MENDES, C E PROF-EF M",14,1,1,1
,"NATALIA REGINATO, C E-EF M PROFIS",19,1,1,1
,"NEWTON F DA COSTA, C E-EF M_ETI",4,1,1,1
,"NILO BRANDAO, C E PROF-EF M PROFIS",18,1,1,1
,"NIRLEI MEDEIROS, C E-EF M PROFIS",45,3,1,1
,"NOSSA SRA DA SALETE, C E-EF ETI EM PROFI",38,2,1,1
,"OLAVO DEL CLARO, C E C-M PROF-EF M P",10,1,1,1
,"OLIVIO BELICH, C E DEP-EF ETI EM",22,2,1,1
,"ORIONE, C E D-EF M PROFIS",19,1,1,1
,"PARANA, C E DO-EF M PROFIS",255,4,1,1
,"PAULA GOMES, C E-EF M ETI PROFIS",30,2,1,1
,"PAULINA P BORSARI, C E-EF M PROF",8,1,1,1
,"PAULO LEMINSKI, C E-EF M N PROFIS",53,3,1,1
,"PEDRO MACEDO, C E-EF M PROFIS N",33,2,1,1
,"PILAR MATURANA, C E-EF M P",14,1,1,1
,"PINHEIRO DO PARANA, C E C-M-EF M P",3,1,1,1
,"PIO LANTERI, C E-EF M PROFIS",13,1,1,1
,"POL MILITAR, C CEL P M F S MIR-EF M",10,1,1,1
,"POLIVALENTE DE CURITIBA, C E-EF M N",9,1,1,1
,"PROTASIO DE CARVALHO, C E-EF M PROFIS",3,1,1,1
,"REPUBLICA ORIENTAL URUGUAI, C E C-M-EF M",32,2,1,1
,"RIO BRANCO, C E-EF M ETI PROFIS N",26,2,1,1
,"ROBERTO LANGER JUNIOR, C E-EF M PROFIS",26,2,1,1
,"RODOLPHO ZANINELLI, C E-EFMPN",33,2,1,1
,"SANTA CANDIDA, C E-EF M PROFIS N",14,1,1,1
,"SANTA FELICIDADE, C E C-M-EF M P",28,2,1,1
,"SANTA GEMMA GALGANI, C E-EF M ETI PROFIS",11,1,1,1
,"SANTA ROSA, C E-EF M PROFIS",6,1,1,1
,"SANTO AGOSTINHO, C E-EF M",3,1,1,1
,"SANTO ANTONIO, C E C-M-EF M",58,3,1,1
,"SANTOS DUMONT, C E-EF M ETI",1,1,1,1
,"SAO BRAZ, C E-EF M PROFIS",16,1,1,1
,"SAO PAULO APOSTOLO, C E-EF M PROFIS",17,1,1,1
,"SAO PEDRO APOSTOLO, C E-EF M PROFIS",21,2,1,1
,"SAO SEBASTIAO, C E-EFM",10,1,1,1
,"SEBASTIAO SAPORSKI, C E C-M-EF M PROFIS",6,1,1,1
,"SEGISMUNDO FALARZ, C E C-M-EFMP",11,1,1,1
,"SENHORINHA M SARMENTO, C E C-M-EF M P",5,1,1,1
,"SILVESTRE KANDORA, C E PE-EFM ETI PROFIS",2,1,1,1
,"TATUQUARA, C E-EF M",63,4,1,1
,"TEOBALDO L KLETEMBERG, C E PROF-EF M P",16,1,1,1
,"TEOTONIO VILELA, C E-EF M PROF",35,2,1,1
,"VICTOR DO AMARAL, C E PROF-EFM ETI PROFI",1,1,1,1
,"XAVIER DA SILVA, C E DR-EF M ETI PROFIS",2,1,1,1
,"YVONE PIMENTEL, C E C-M-EF M PROFIS",21,2,1,1
DOIS VIZINHOS,"ARNALDO BUSATO, C E DR-EF M ETI PROFIS",18,1,1,1
,"BOA E DO IGUACU, C E-EF ETI",5,1,1,1
,"DOIS VIZINHOS, C E DE-EF M PROFIS",66,4,1,1
,"GERMANO STEDILE, C E C -E F M ETI",2,1,1,1
,"JOSE DE ALENCAR, C E-EM ETI PROFIS",32,2,1,1
,"JOSE DE ANCHIETA, C E C-M - EF ETI EM",30,2,1,1
,"JOSE DE ANCHIETA, C E PE-EF M N PROFIS",29,2,1,1
,"LEONARDO DA VINCI, C E C-M-EF M N PROFIS",29,2,1,1
,"MARIA MARGARIDA, C E IR-EM N P",42,3,1,1
,"MONTEIRO LOBATO, C E-EF ETI EM",2,1,1,1
,"NOVA ESPERANCA, C E-EF M ETI PROFIS",27,2,1,1
,"PARANHOS, C E DR-EF ETI EM",1,1,1,1
,"SAO FRANCISCO DO BANDEIRA, C E C-EF M",17,1,1,1
,"VINICIUS DE MORAES, C E- C-M-EF M",13,1,1,1
FOZ DO IGUACU,"ALBERTO SANTOS DUMONT, C E C-E F M P",30,2,1,1
,"ALMIRO SARTORI, C E-EF M PROFIS",18,1,1,1
,"ANGELO ANTONIO BENEDET, C E C-M-EF M P",7,1,1,1
,"ARCANGELO NANDI, C E C-M EFMP",7,1,1,1
,"ARNALDO BUSATTO, C E DR-EF M N PROFIS",18,1,1,1
,"ARTHUR DA C SILVA, C E C-M MAL-EF M P",15,1,1,1
,"AYRTON SENNA DA SILVA, C E-EF M N PROFIS",32,2,1,1
,"BELO HORIZONTE, C E-EF M PROFIS",57,3,1,1
,"CARLOS DRUM DE ANDRADE, C E C-M-EF M P",47,3,1,1
,"CARLOS ZEWE COIMBRA, C E-EF M PROFIS",21,2,1,1
,"CARMELITA S DIAS, C E C-M PROFA-EF M P",3,1,1,1
,"CASTELO BRANCO, C E C-EF M N PROFIS",68,4,1,1
,"CASTELO BRANCO, C E C-M PRES-EF M PROFIS",4,1,1,1
,"CATARATAS DO IGUACU, C E-EF M PROFIS",32,2,1,1
,CENTRO EST EDUC PROFIS DE MEDIANEIRA,36,2,1,1
,CENTRO EST EDUC PROFIS MANOEL M PENA,82,4,1,1
,"COELHO NETO, C E C-EF M",10,1,1,1
,"COSTA E SILVA, C E C-M PRES-EF M PROFIS",13,1,1,1
,"COSTA E SILVA, C E-E F M PROFIS",54,3,1,1
,"EDUARDO MICHELIS, C E PE-EF M N PROFIS",31,2,1,1
,"EUCLIDES DA CUNHA, C E-E F M N PROFIS",42,3,1,1
,"FLAVIO WARKEN, C E PROF-EF M N PROFIS",112,4,1,1
,"GUILHERME, C E MONS-EF M ETI PROFIS",5,1,1,1
,"GUSTAVO D DA SILVA, C E-EF M PROFIS",14,1,1,1
,"IPE ROXO, C E C-M-EF M PROFIS",9,1,1,1
,"JOAO M MONDRONE, C E-EF M PROFIS N",132,4,1,1
,"JORGE SCHIMMELPFENG, C E-EF M P",43,3,1,1
,"JUSCELINO K DE OLIVEIRA, C E-EFMNP",29,2,1,1
,"KENNEDY, C E C C-M PRES-EF M",35,2,1,1
,"MANOEL KONNER, C E D-EF M N ETI PROFIS",68,4,1,1
,"MARALUCIA, C E C-EF M",2,1,1,1
,"MARIANO C PAGANOTO, C E PROF-EF M PROFIS",58,3,1,1
,"NAIRA FELLINI, C E C-M-EF M PROFIS",6,1,1,1
,"NESTOR V DOS SANTOS, C E C-M-EF M PROFIS",15,1,1,1
,"OLAVO BILAC, C E-EF M ETI",1,1,1,1
,"PAULO FREIRE, C E-EF M ETI PROFIS",4,1,1,1
,"PEDRO AMERICO, C E C-EF M_ETI",4,1,1,1
,"PEDRO II, C E DOM-EF M PROFIS",32,2,1,1
,"PEDRO V PARIGOT DE SOUZA, C E-EF M PROFI",43,3,1,1
,"PIONEIROS, C E-EF M_ETI_P",23,2,1,1
,"RIO BRANCO, C E BAR DO-EF M N PROF",7,1,1,1
,"RUI BARBOSA, C E C-EF M ETI P",2,1,1,1
,"SANTA ROSA DO OCOI, C E C-EF M",12,1,1,1
,"SAO JOAO B DE LA SALLE, C E C-EF M",11,1,1,1
,"SOL DE MAIO, C E C-M-EF M PROFIS",23,2,1,1
,"TAMANDARE, C E ALM-EF M PROFIS",13,1,1,1
,"TANCREDO DE A NEVES, C E C-M-EF M N P",64,4,1,1
,"TANCREDO NEVES, C E C-M-EF M PROFIS",4,1,1,1
,"TARQUINIO SANTOS, C E C-M-EF M PROFIS",22,2,1,1
,"TEOTONIO VILELLA, C E DO C-EF M PROFIS",12,1,1,1
,"TIRADENTES, C E-EF ETI EM",22,2,1,1
,"TRES FRONTEIRAS, C E-EF M PROFIS",21,2,1,1
,"ULYSSES GUIMARAES, C E-EF M PROF",110,4,1,1
FRANCISCO BELTRAO,"ANCHIETA, C E PE-EF M",20,1,1,1
,"ANTONIO SCHIEBEL, C E-EF ETI N P",11,1,1,1
,"ARNALDO BUSATO, C E-EF ETI EM N P",80,4,1,1
,"ARNALDO FAIVRO BUSATO, C E-EF M",2,1,1,1
,"BEATRIZ BIAVATTI, C E C-M-EF M",11,1,1,1
,"BOM JESUS, C E C-EF M",2,1,1,1
,"BOM JESUS, C E-EF ETI EM",31,2,1,1
,"CANDIDO PORTINARI, C E C-M-EF M",6,1,1,1
,"CARLOS EDUARDO, C E C-M D-EF M",4,1,1,1
,"CASTELO BRANCO, C E C -EF ETI EM",6,1,1,1
,"CASTRO ALVES, C E-EF M",5,1,1,1
,"CECILIA MEIRELES, C E-EF M PROFIS",25,2,1,1
,CENTRO EST ED PROFIS DO SUDOESTE DO PR,17,1,1,1
,"CIRILO, C E PE-EF ETI EM PROFIS",22,2,1,1
,"CRISTO REI, C E-EF M ETI",35,2,1,1
,"DOZE DE NOVEMBRO, C E-EF M N PROFIS",83,4,1,1
,"EDUARDO VIRMOND SUPLICY, C E DR-EF M P",32,2,1,1
,"FLOR DA SERRA, C E C DE-EF M",15,1,1,1
,"GUILHERME DE ALMEIDA, C E-EM ETI N P",24,2,1,1
,"HUMBERTO DE CAMPOS, C E-EF M PROFIS",17,1,1,1
,"INDUSTRIAL, C E-EF M ETI",7,1,1,1
,"JOAO PAULO II, C E-EF ETI EM",13,1,1,1
,"JOAO PAULO II, C E-EF M",2,1,1,1
,"JOAO ZACCO PARANA, C E C-M-EF M",17,1,1,1
,"JOSE DE ANCHIETA, C E-EF ETI EM P",28,2,1,1
,"JULIO GIONGO, C E-EF M N PROFIS",34,2,1,1
,"LEO FLACH, C E PROF-EF ETI EM P",5,1,1,1
,"LEONOR CASTELLANO, C E PROFA-EFM",6,1,1,1
,"MANOEL RIBAS, C E C-M INTERVENTOR-EF M",8,1,1,1
,"MARIO A T DE FREITAS, C E DR-EF M PROFIS",6,1,1,1
,"MARIO DE ANDRADE, C E-EF M N PROF",27,2,1,1
,"MARMELEIRO, C E DE-EF M",14,1,1,1
,"NEREU PERONDI, C E-EF ETI EM N",25,2,1,1
,"PAULO FREIRE, C E DO C-EF M",7,1,1,1
,"PINHEIRO, C E C DE -EF M",14,1,1,1
,"REINALDO SASS, C E-EF M PROF",23,2,1,1
,"RENASCENCA PE J J VICENTE, C E DE-EF M P",7,1,1,1
,"REUS, C E PE-EF ETI EM",26,2,1,1
,"RIO BRANCO, C E BAR DO-EF M",33,2,1,1
,"ROCHA POMBO, C E-EF ETI EM N",7,1,1,1
,"SANTA CRUZ, C E-EF M ETI",5,1,1,1
,"SANTO ANTAO, C E-E F M N ETI",7,1,1,1
,"SAO CRISTOVAO, C E-EF ETI EM",2,1,1,1
,"SAO CRISTOVAO, C E-EF M PROFIS",30,2,1,1
,"TANCREDO NEVES, C E-EF M PROF",11,1,1,1
,"TELMO OCTAVIO MULLER, C E-EF ETI N",2,1,1,1
,"VARGAS, C E PRES-EF ETI EM",20,1,1,1
,"VICENTE DE CARLI, C E C-M PROF-EF M",1,1,1,1
,"VISTA ALEGRE, C E C DE-EF M",7,1,1,1
GOIOERE,"ANTONIO L BRAGA, C E-EF M PROFIS",33,2,1,1
,"CARLOS GOMES, C E-EF M P",27,2,1,1
,"CAXIAS, C E DQ DE-EF EM N PROFIS",37,2,1,1
,"CECILIA MEIRELES, C E-EF M",15,1,1,1
,CENT EST ED PROFIS AGRIC GOIOERE,70,4,1,1
,"JOAO MAFFEI ROSA, C E-EF M ETI PROFIS",36,2,1,1
,"JOAO THEOTONIO NETTO, C E-EF M P",54,3,1,1
,"JOAO XXIII, C E-EM ETI",34,2,1,1
,"JORGE SCHOLL, C E PE-EF ETI EM",6,1,1,1
,"JOSE A DE ALMEIDA, C E-EF M N PROFIS",51,3,1,1
,"LEOPOLDINA, C E C DONA-EF M",1,1,1,1
,"MARIA CANDIDA DE JESUS, C E C-EF M",3,1,1,1
,"MARIA GOMES BIZERRA, C E C PROFA-EF M",6,1,1,1
,"OLAVO BILAC, C E C-M-EF M",19,1,1,1
,"PALMITAL, C E C -EF M",12,1,1,1
,"POLIVALENTE DE GOIOERE, C E-EF ETI EM P",13,1,1,1
,"RANCHO ALEGRE, C E-EF ETI EM",17,1,1,1
,"VICENTE LEPORACE, C E-EF M",15,1,1,1
,"VILA GUAIRA, C E C-M-EF M",10,1,1,1
GUARAPUAVA,"AMARILIO, C E PROF-EF M",9,1,1,1
,"ANA VANDA BASSARA, C E-EF M PROF",23,2,1,1
,"ANASTACIA KRUK, C E C-EF M",11,1,1,1
,"ANTONIA A ANTONICHEN, C E DO C-EF M",13,1,1,1
,"ANTONIO TUPY PINHEIRO, C E-EF M PROFIS",33,2,1,1
,"BENEDITO DE PAULA LOURO, C E C-EF M",8,1,1,1
,"BENTO MUNHOZ R NETTO, C E C -EFM",2,1,1,1
,"BIBIANA BITENCOURT, C E-EF M",2,1,1,1
,"CACHOEIRA, C E C DE-EF M",1,1,1,1
,CENTRO EST EDUC PROFIS ARLINDO RIBEIRO,47,3,1,1
,"CESAR STANGE, C E-EF M",35,2,1,1
,"CHAGAS, C E PE-EF M",38,2,1,1
,"CRISTO REI, C E-EF M PROFIS",24,2,1,1
,"DULCE MASCHIO, C E PROFA-EF M PROFIS",12,1,1,1
,"EDITE C MARQUES, C E C-M-EF M",16,1,1,1
,"EDVALDO E MARIA CARN, CE PROF-EFM ETI",22,2,1,1
,"FAXINAL DA BOA VISTA, C E DO C-EF M",23,2,1,1
,"FRANCISCO C MARTINS, C E-EM P",94,4,1,1
,"GUARAPUAVA, C E VISC DE-EF M N PROFIS",129,4,1,1
,"HEITOR ROCHA KRAMER, C E C-M VER-EF M",7,1,1,1
,"IZABEL F SIQUEIRA, C E PROFA-EF M",5,1,1,1
,"IZALTINO R BASTOS, C E C PROF-E F M",1,1,1,1
,"JOAO F NEVES, C E DR-EF M ETI",26,2,1,1
,"JULIO MOREIRA, C E C PROF-EF M ETI",16,1,1,1
,"LAGOA SECA, C E C DE-EF M ETI",2,1,1,1
,"LENI MARLENE JACOB, C E C-M PROFA-EF M P",47,3,1,1
,"LIANE MARTA DA COSTA, C E-EF M",17,1,1,1
,"LUIZ ANDRADE, C E C PROF-EF M",2,1,1,1
,"MAHATMA GANDHI, C E C-M-EF M PROFIS",16,1,1,1
,"MANOEL RIBAS, C E C-M-EF M",52,3,1,1
,"MARIA J P GUIMARAES, CEC-M PROF -EFM ETI",7,1,1,1
,"MARIO EVALDO MORSKI, C E PROF-EF M N P",28,2,1,1
,"MICHEL G P A REYDAMS, C E C-M ENG-EF M",29,2,1,1
,"NEWTON FELIPE ALBACH, C E-EF M",13,1,1,1
,"PALMEIRINHA, C E C C-M DE-EFMP",8,1,1,1
,"PAZ, C E C DE-EF M",27,2,1,1
,"PEDRO CARLI, C E PROF-EF M ETI",10,1,1,1
,"PEDRO I, C E C D-EF M PROFIS",24,2,1,1
,"PINHALZINHO, C E C DE-EF M",5,1,1,1
,"PROCOPIO F CALDAS, C E-EF M ETI",28,2,1,1
,"RUI BARBOSA, C E-EF M ETI",15,1,1,1
,"SANTA CLARA, C E-EF M N PROFIS",46,3,1,1
,"SANTO ANTONIO, C E C-M-EF M",8,1,1,1
,"SAO JOSE, C E C-EF M",2,1,1,1
,"SEBASTIANA S CALDAS, C E C PROFA-EF M",11,1,1,1
,"SEGREDO, C E DE-E F M ETI",31,2,1,1
,"TEOTONIO VILELA, C E-EF ETI EM",40,2,1,1
IBAITI,"AFFONSO M ALBALADEJO, C E C-EF M",6,1,1,1
,"ALDO DALLAGO, C E-EF M ETI N",51,3,1,1
,"ALVINA PRESTES, C E PROF-EF M ETI N",24,2,1,1
,"ANITA A PACHECO, C E-E F M ETI",11,1,1,1
,"ANTONIO M MELLO, C E-EF ETI EM",43,3,1,1
,"CAETANO MUNHOZ DA ROCHA, C E C-EF M",7,1,1,1
,"CARLOS GOMES, C E-EM ETI",31,2,1,1
,CENTRO EST EDUC PROFIS SEIJI HATTANDA,24,2,1,1
,"DAVID CARNEIRO, C E-EF M",51,3,1,1
,"FRANCISCO A ALMEIDA, C E-EM",32,2,1,1
,"JOAQUIM M DE SOUZA, C E C-EF M",5,1,1,1
,"JOAQUIM P OLIVEIRA, C E CEL-EF M ETI",10,1,1,1
,"JULIA WANDERLEY, C E-EF ETI EM PROFIS",34,2,1,1
,"JULIO FARAH, C E C-M-EF M",18,1,1,1
,"LEAO SCHULMANN, C E-EF M",43,3,1,1
,"LEONARDO F NOGUEIRA, C E-E M N",35,2,1,1
,"MARGARIDA F GONCALVES,CEC PROFA-EFM ETI",18,1,1,1
,"MARIA AP C SALCEDO, C E PR-EF M PROFIS",12,1,1,1
,"NAPOLEAO DA SILVA REIS, C E C-EF M",21,2,1,1
,"RODOLFO I PEREIRA, C E C-EF M",8,1,1,1
,"SAGRADA FAMILIA, C E -E F M PROFIS",19,1,1,1
,"SEGISMUNDO A NETTO, C E C-M PROF-EFMNP",18,1,1,1
,"YVY PORA, C E IND-EI EF M",1,1,1,1
IRATI,"ADAO SOBOCINSKI, C E C-EF ETI EM",9,1,1,1
,"AFONSO A DE CAMARGO, C E C-M DR-EF M P",16,1,1,1
,"ALBERTO DE CARVALHO, C E-EF M PROFIS",29,2,1,1
,"ANGAI, C E C DE-EF M",4,1,1,1
,"ANTONIO E ANTONELLI, CEC PROF-EF ETI EM",27,2,1,1
,"ANTONIO WITCHEMICHEN, C E C PREF-EF M",6,1,1,1
,"ANTONIO X DA SILVEIRA, C E-EF M N PROFIS",25,2,1,1
,"AUREA APARECIDA LOPES, C E C-E F M",4,1,1,1
,"BITUVA DAS CAMPINAS, C E C-EF ETI EM",5,1,1,1
,"CAPANEMA, C E C-M BAR DE-EF M PROF",23,2,1,1
,"CAXIAS, C E C-M DQ-EF M PROF",11,1,1,1
,CENTRO EST FL ED PROFIS PR COSTA E SILVA,53,3,1,1
,"CHAFIC CURY, C E DR-EF M N",9,1,1,1
,"CRISTO REI, C E C-EF M",14,1,1,1
