NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
,"IVANETE M DE SOUZA, C E-EF M N P",39,2,1,1
,"JACI REAL P OLIVEIRA, C E C-M PROFA-EFMP",5,1,1,1
,"JARDIM APUCARANA, C E-EF MP",9,1,1,1
,"JARDIM BOA VISTA, C E-EF M P",10,1,1,1
,"JARDIM PARAISO, C E-EF M",14,1,1,1
,"JOAO BATISTA VERA, C E-E F M P",20,1,1,1
,"JOAO BOSCO, C E C-M D-EF M",5,1,1,1
,"JOAO GUENO, C E-EF M PROFIS",3,1,1,1
,"JOAO MARIA DE BARROS, C E PREF-EF M N PR",20,1,1,1
,"JOAO R DE CAMARGO, C E C-M E F M P",6,1,1,1
,"JOSE ELIAS, C E C-EF M",1,1,1,1
,"JOSE ERMIRIO DE MORAES, C E-EF M P",31,2,1,1
,"JOSE PIOLI, C E-EF M PROFIS",31,2,1,1
,"JULIA CAVASSIN, C E-EF M P",23,2,1,1
,"LAMENHA PEQUENA, C E-EF M",2,1,1,1
,"LEOCADIA B RAMOS, C E-EF M PROFIS",72,4,1,1
,"LINDAMIR ALBERTI, C E-E F M P",9,1,1,1
,"LUARLINDO DOS REIS BORGES, C E-EF M",12,1,1,1
,"LUIZ MALTACA, C E C-M VER-EF M PROFIS",33,2,1,1
,"LUIZ SEBASTIAO BALDO, C E-E F M P",28,2,1,1
,"MANOEL B.DE MACEDO, C E C-M PROF-EF M P",9,1,1,1
,"MARIA DA LUZ FURQUIM, C E-EF M N PROFIS",12,1,1,1
,"MARIA L DE PAULA, C E C-M PROFA-EF M P",2,1,1,1
,"MARIO B T BRAGA, C E PROF-EFMNP",37,2,1,1
,"MATHIAS JACOMEL, C E-EF M PROFIS",26,2,1,1
,"NOSSA SRA CONCEICAO, C E DO C-EF ETI EMP",14,1,1,1
,"OTTILIA H DA SILVA, C E PROFA-EF M PROF",31,2,1,1
,"PAULO FREIRE, C E PROF-EF ETI EM",27,2,1,1
,"PEDRO PIEKAS, C E VER-EF M PROFIS",3,1,1,1
,"PERCY TEIXEIRA FARIA, CEC PROF-EF ETI EM",2,1,1,1
,"PLANTA DEODORO, C E C-M EF M",4,1,1,1
,"PLINIO A M TOURINHO, C E PROF-EFM PROFIS",29,2,1,1
,"PORTO NOVO, C E C-EF M",23,2,1,1
,"QUIELSE C DA SILVA,C E CON-EF M P N",27,2,1,1
,"RAULINO COSTACURTA, C E VER-EF M PROFIS",15,1,1,1
,"ROMARIO MARTINS, C E-EF M PROFIS",19,1,1,1
,"ROSILDA DE S OLIVEIRA, C E PROFA-EF M P",18,1,1,1
,"RUI BARBOSA, C E C-M-EF M PROF",15,1,1,1
,"SALTO GRANDE DO TURVO, C E C-EF M",6,1,1,1
,"SANTA BARBARA, C E-EF M N",6,1,1,1
,"SAO FRANCISCO DE ASSIS, C E-EF ETI EM",9,1,1,1
,"SELBMANN, C E C ENS FUND E MED",9,1,1,1
,"SEMIRAMIS DE B BRAGA, C E C-M-EF M PROFI",26,2,1,1
,"SEVERO FERREIRA RUPPEL, C E-EF M PROFIS",23,2,1,1
,"SHIRLENE DE SOUZA ROCHA, C E-EF M",15,1,1,1
