NRE,MUNICIPIO,CODMEC,ESTABELECIMENTO,STATUS
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,RANCHO ALEGRE,41041364,"PAULINA PACIFICO BORSARI, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,URAI,41042336,"PAULO MOZART MACHADO, C E C-M PROF-EF M",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,NOVA AMERICA DA COLINA,41045092,"PAULO VI, C E PAPA-EF M",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,JATAIZINHO,41041135,"PEDRO V P DE SOUZA, C E PROF-EFM ETI PRO",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,CORNELIO PROCOPIO,41160452,"POL MILITAR, C DA-E F M P",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SAO JERONIMO DA SERRA,41041836,"RAEL VYNHKAG, E E IND INDIO-EI EF",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,URAI,41042344,"REGINA TOKANO, C E PROFA-EF M",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,ASSAI,41040929,"RIO BRANCO, C E BR DO-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,URAI,41042352,"RUBENS L FILGUEIRAS, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SAO JERONIMO DA SERRA,41041879,"SAO JOAO DO PINHAL, C E C DE-EF M",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SAO JERONIMO DA SERRA,41041887,"SAO JORGE, C E C-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SANTA AMELIA,41045777,"TUDJA NHANDERU, E E IND CACIQUE-EI EF",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,CORNELIO PROCOPIO,41044649,"VANDYR DE ALMEIDA, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SAO JERONIMO DA SERRA,41041968,"VILA NOVA, E E DO C-EF",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,SANTA AMELIA,41045785,"VINICIUS DE MORAIS, C E-EM",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,ASSAI,41040899,"WALERIAN WROSZ, E E C PROF-EF ETI",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,CORNELIO PROCOPIO,41143922,"WILLIAM MADI, C E PROF-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CORNELIO PROCOPIO                    ,CORNELIO PROCOPIO,41044681,"ZULMIRA MARCHESI SILVA, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41357191,"ALCINDO FANAYA JR, CE SURDOS-EI EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127021,"ALCYONE M C VELLOZO, C E PROF-EF M PROFI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127048,"ALFREDO PARODI, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127056,"ALGACYR M MAEDER, CE PROF-EFM ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127072,"ALINE PICHETH, E E-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127196,"ANGELO GUSSO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127200,"ANGELO TREVISAN, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127218,"ANGELO VOLPATO, C E-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41361989,"ANIBAL KHURY NETO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127340,"ARLINDO C DE AMORIM, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127358,"ARTHUR R DE MACEDO, E E-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127382,"ATTICO EUSEBIO DA ROCHA, C E D-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127420,"AVELINO ANTONIO VIEIRA, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127609,"BEATRIZ FARIA ANSAY, C E C-M-EFMP",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127650,"BENEDICTO J CORDEIRO, C E-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127668,"BENTO M DA ROCHA NETO, C E C - M -EFMP",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127790,"BRANCA DO N MIRANDA, C E DONA-E F M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127820,"BRASILIO V DE CASTRO, C E PROF-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127854,"CAETANO MUNHOZ DA ROCHA, C FORM R H",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127897,"CANDIDO RONDON, C E C-M MAL-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128044,"CAROLA, E E DONA-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128052,"CARRAO, C E CONS-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41357620,CEAD POLO POTTY LAZAROTTO-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128176,"CECILIA MEIRELES, C E-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41146220,CEEBJA BARIGUI-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41357329,CEEBJA DR FRANCISCO RIB AZEV MACEDO-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41357604,CEEBJA PAULO FREIRE-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41390032,CEEBJA PROFA LAIS MIQUELOTTO-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41146212,CEEBJA PROFA MARIA DEON DE LIRA-EF M,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129857,CENTRO EST EDUC PROFIS DE CURITIBA,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128362,"CLAUDIO MORELLI, C E PE-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128389,"CLETO, C E PROF-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128427,"COLBACCHINI, E E PE-EF ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128664,"CRUZEIRO DO SUL, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128885,"DIRCE C DO AMARAL, C E PROFA-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128915,"DOMINGOS ZANLORENZI, C E C-M- EFM ETI P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128966,"DORACY CEZARINO, E E-EF ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128656,"ELIAS ABRAHAO, C E PROF-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129083,"EMILIO DE MENEZES, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129164,"ERMELINO DE LEAO, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129172,"ERNANI VIDAL, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129253,"ETELVINA C RIBAS, C E C-M PROFA-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41377591,"EURIDES BRANDAO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129261,"EUZEBIO DA MOTA, C E-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41377613,"FLAVIO F DA LUZ, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129490,"FRANCISCO ZARDO, C E PROF-EF M PROFIS N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129512,"GABRIELA MISTRAL, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129539,"GELVIRA CORREA PACHECO, C E-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129580,"GETULIO VARGAS, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129628,"GOTTLIEB MUELLER, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129679,"GUAIRA, C E-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41158784,"GUARDA MIRIM DO PARANA, C E-EM PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41531876,"GUIDO ARZUA, C E C M PROF - EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129687,"GUIDO STRAUBE, C E PROF-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130006,"GUILHERME A MARANHAO, C E DESEMB-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128222,"GUILHERME JACOBUCCI,E E SURDOS- EIEF ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129717,"GUILHERME PEREIRA NETO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129725,"HASDRUBAL BELLEGARD, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129741,"HELENA DIONYSIO, E E-EF ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129792,"HILDEBRANDO DE ARAUJO, CE-EFM ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128508,"HILDEGARD SONDAHL, C E PROFA-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129806,"HOMERO B DE BARROS, C E-EFM ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128753,"IARA BERGMANN, C E PROFA-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41370627,"INEZ VICENTE BOROCZ, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129130,INS ED PR PROF ERASMO PILOTTO-EFM ETI NP,Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129920,"ISABEL L S SOUZA, C E PROFA-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129938,"ISOLDA SCHMID, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129970,"IVO LEAO, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41129989,"IVO ZANLORENZI, E E C-M MONS-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130065,"JAYME CANET, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130103,"JOAO BETTEGA, C E-EF M ETI PROFIS N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130138,"JOAO DE OLIVEIRA FRANCO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130146,"JOAO LOYOLA, C E C-M PROF-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130162,"JOAO MAZZAROTTO, C E-EF ETI EM PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130170,"JOAO PAULO I, C E C-M PAPA-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130189,"JOAO PAULO II, C E C-M EFMP",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130197,"JOAO TURIN, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130200,"JOAO WISLINSKI, C E C-M PE-EF M N P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130243,"JOSE BUSNARDO, C E C-M - EFM ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130294,"JOSE FRESSATO, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130308,"JOSE GUIMARAES, C E PROF-EM ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41127811,"JOSE RICHA, E E-EF MOD ED ESP",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130340,"JULIA WANDERLEY, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130359,"JULIO MESQUITA, C E C-M PROF-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130405,"LA SALLE, C E-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130421,"LAMENHA LINS, C E C-M PRES-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130499,"LEONCIO CORREIA, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130618,"LOUREIRO FERNANDES,CE PROF-EFM ETI PROFI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130634,"LUCIA BASTOS, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41428846,"LUCY REQUIAO DE M E SILVA, E E-EI EF M E",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130669,"LUIZ CARLOS P E SOUZA, C E C-M PROF-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130685,"LUIZA ROSS, C E C-M PROFA-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130723,"LYSIMACO F COSTA, C E PROF-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130782,"MANOEL A GUIMARAES, C E C-M SEN - EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130790,"MANOEL RIBAS, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130847,"MARIA A TEIXEIRA, CE PROFA-EFM ETI PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130855,"MARIA BALBINA C DIAS, CE PROFA-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130901,"MARIA GAI GRENDEL, C E PROFA-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130910,"MARIA HELOISA CASSELLI, CE PROFA-EFM ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130936,"MARIA MONTESSORI, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130952,"MARIA P MARTINS, E E C-M -EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41387848,"MARLI QUEIROZ AZEVEDO, CE PROFA - EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131002,"MAXIMO A ASINELLI, CE PROF-EF M ETI PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131223,"MILTON CARNEIRO, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41377605,"MORADIAS MONTEIRO LOBATO, CE-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131460,"NARCISO MENDES, C E PROF-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131479,"NATALIA REGINATO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41151399,"NATALIE BARRAGA, C A E E",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131495,"NEWTON F DA COSTA, C E-EF M_ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131517,"NILO BRANDAO, C E PROF-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41387279,"NIRLEI MEDEIROS, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131576,"NOSSA SRA APARECIDA, E E-EF ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131592,"NOSSA SRA DA SALETE, C E-EF ETI EM PROFI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131614,"NOSSA SRA DE FATIMA, E E-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131886,"OLAVO DEL CLARO, C E C-M PROF-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131908,"OLIVIO BELICH, C E DEP-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41131967,"ORIONE, C E D-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132122,"PARANA, C E DO-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132203,"PAULA GOMES, C E-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132211,"PAULINA P BORSARI, C E-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132220,"PAULO LEMINSKI, C E-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132297,"PEDRO II, E E D-EF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132300,"PEDRO MACEDO, C E-EF M PROFIS N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41370597,"PILAR MATURANA, C E-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132475,"PINHEIRO DO PARANA, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132483,"PIO LANTERI, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132556,"POL MILITAR, C CEL P M F S MIR-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132572,"POLIVALENTE DE CURITIBA, C E-EF M N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132718,"PROTASIO DE CARVALHO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132882,"REPUBLICA ORIENTAL URUGUAI, C E C-M-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132912,"RIO BRANCO, C E-EF M ETI PROFIS N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41132955,"ROBERTO LANGER JUNIOR, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41128516,"RODOLPHO ZANINELLI, C E-EFMPN",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133102,"SANTA CANDIDA, C E-EF M PROFIS N",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133137,"SANTA FELICIDADE, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133145,"SANTA GEMMA GALGANI, C E-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133161,"SANTA ROSA, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133188,"SANTO AGOSTINHO, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133200,"SANTO ANTONIO, C E C-M-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133226,"SANTOS DUMONT, C E-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133234,"SAO BRAZ, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133358,"SAO PAULO APOSTOLO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41130057,"SAO PEDRO APOSTOLO, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133366,"SAO SEBASTIAO, C E-EFM",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133404,"SEBASTIAO SAPORSKI, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133412,"SEGISMUNDO FALARZ, C E C-M-EFMP",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133471,"SENHORINHA M SARMENTO, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133560,"SILVESTRE KANDORA, C E PE-EFM ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41148819,"TATUQUARA, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41357027,"TEOBALDO L KLETEMBERG, C E PR-EF M P",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41133781,"TEOTONIO VILELA, C E-EF M PROF",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41134273,"VICTOR DO AMARAL, C E PROF-EFM ETI PROFI",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41134419,"XAVIER DA SILVA, C E DR-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - CURITIBA                             ,CURITIBA,41134435,"YVONE PIMENTEL, C E C-M-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,CRUZEIRO DO IGUACU,41084292,"ARNALDO BUSATO, C E DR-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SALTO DO LONTRA,41088891,"BAIRRO ITAIPU, E E DO-EF ETI",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,NOVA ESPERANCA DO SUDOESTE,41087208,"BARRA BONITA, E E C-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SALTO DO LONTRA,41088905,"BARRA DO LONTRA, E E C DE-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,BOA ESPERANCA DO IGUACU,41084136,"BOA E DO IGUACU, C E-EF  ETI",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084500,"CAXIAS, C E DQ DE-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,NOVA PRATA DO IGUACU,41087534,"CECILIA MEIRELES, E E C-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,CRUZEIRO DO IGUACU,41084314,"CELESTINA MARIA, E E DO C IRMA-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,NOVA PRATA DO IGUACU,41087542,"CRISTO REDENTOR, E E-EF ETI",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084560,"DOIS VIZINHOS, C E DE-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084632,"GERMANO STEDILE, C E C -E F M ETI",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SAO JORGE DO OESTE,41089901,"IOLOPOLIS, E E C DE-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SALTO DO LONTRA,41089006,"JORGE DE LIMA, E E C-M-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,NOVA PRATA DO IGUACU,41087607,"JOSE DE ALENCAR, C E-EM ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084721,"JOSE DE ANCHIETA, C E C-M - EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SAO JORGE DO OESTE,41089944,"JOSE DE ANCHIETA, C E PE-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084772,"LEONARDO DA VINCI, C E C-M-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SALTO DO LONTRA,41089030,"LINHA BOEIRA, E E C DE-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084780,"LINHA CONRADO, E E C-E F",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SALTO DO LONTRA,41089065,"MARIA MARGARIDA, C E IR-EM N P",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,DOIS VIZINHOS,41084845,"MONTEIRO LOBATO, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,NOVA ESPERANCA DO SUDOESTE,41087348,"NOVA ESPERANCA, C E-EF M ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SAO JORGE DO OESTE,41090055,"NOVA SANT ANA, E E C-EF",Ativo
NUCLEO REG. EDUCACAO - DOIS VIZINHOS                        ,SAO JORGE DO OESTE,41090071,"PARANHOS, C E DR-EF ETI EM",Ativo
